ECInstanceId;ECClassId;Model;LastMod;CodeSpec;CodeScope;CodeValue;UserLabel;Parent;FederationGuid;JsonProperties
"0x4d00001048f6";"KBGMPSPUVI.WireSupport";{"id":"0x20000000805","relClassName":"BisCore.ModelContainsElements"};"2022-02-16T12:31:16.522Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"WireSupport";;"4a78452a-5344-476a-bfed-39a715b5930f";
"0x4d00000fa830";"LEISZNQUIT.WireSupport";{"id":"0x20000000809","relClassName":"BisCore.ModelContainsElements"};"2022-02-16T12:28:52.116Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"WireSupport";;"6aa0d977-c8dc-46a9-a073-fa02487a458b";
"0x1b0000019f80";"QGYZPEKHWE.WireSupport";{"id":"0x20000000801","relClassName":"BisCore.ModelContainsElements"};"2021-08-02T06:04:46.462Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"WireSupport";;;
"0x4d0000100670";"QVOCOFPVGE.WireSupport";{"id":"0x2000000080b","relClassName":"BisCore.ModelContainsElements"};"2022-02-16T12:30:08.387Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"WireSupport";;"f030a8e7-a8bb-472e-83f6-056358fa8317";
"0x4d00000e6e24";"TQUNWXBYWH.WireSupport";{"id":"0x20000000803","relClassName":"BisCore.ModelContainsElements"};"2022-02-16T12:25:21.109Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"WireSupport";;"c594d837-7e0b-4dee-a2b0-28e41a282bb0";
"0x4d00000eeaea";"TRGDZJPWME.WireSupport";{"id":"0x20000000807","relClassName":"BisCore.ModelContainsElements"};"2022-02-16T12:27:03.649Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"WireSupport";;"41c911a8-630f-4862-b190-aafbc7329389";
"0x4d00000e6dcb";"UOQIOPTKWH.WireSupport";{"id":"0x20000000803","relClassName":"BisCore.ModelContainsElements"};"2022-02-16T12:25:20.718Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"WireSupport";;"7ba542bc-097c-4340-8851-0aa52506e163";
"0x4d00000fa7f3";"WECTWKGQQM.WireSupport";{"id":"0x20000000809","relClassName":"BisCore.ModelContainsElements"};"2022-02-16T12:28:51.945Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"WireSupport";;"3f1e2655-c0d0-4871-8708-8bb8680cb741";
"0x4d00000b7896";"BZDTGQISJU.WireSupport";{"id":"0x2000000080d","relClassName":"BisCore.ModelContainsElements"};"2022-01-20T16:47:14.118Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"WireSupport";;"75e4a0ac-fea7-4c36-877c-32e4e11b49c9";
"0x1b000001a1c0";"EBVMNVTHNI.WireSupport";{"id":"0x20000000801","relClassName":"BisCore.ModelContainsElements"};"2021-08-02T06:04:46.821Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"WireSupport";;;
"0x1b000001ae22";"GVSZCZNRSM.WireSupport";{"id":"0x20000000801","relClassName":"BisCore.ModelContainsElements"};"2021-08-02T06:04:48.668Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"WireSupport";;;
"0x4d00000b77d0";"HOOKUSHCSX.WireSupport";{"id":"0x2000000080d","relClassName":"BisCore.ModelContainsElements"};"2022-01-20T16:47:13.242Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"WireSupport";;"6b9c8e41-a703-42fe-8f12-eb546a272011";
"0x1b000001a58d";"ISDIZCZNXT.WireSupport";{"id":"0x20000000801","relClassName":"BisCore.ModelContainsElements"};"2021-08-02T06:04:47.400Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"WireSupport";;;
