ECInstanceId;ECClassId;Model;LastMod;CodeSpec;CodeScope;CodeValue;UserLabel;Parent;FederationGuid;JsonProperties
"0x210000080230";"OVWVPEENMX.Structure";{"id":"0x210000000429","relClassName":"BisCore.ModelContainsElements"};"2022-04-12T10:08:28.701Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"EBN-00-XX";;"246da4dc-5ae3-4b2e-abcf-5b2667473b6b";
"0x21000004b0b7";"PJNVSMHSCX.Structure";{"id":"0x210000000425","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:30.102Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"EBN-00-09";;"955d5d4f-cf62-452c-b8b4-044625f6db70";
"0x21000004b0c2";"AFNTZRSQUI.Structure";{"id":"0x210000000425","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:30.118Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"EB-49-19A";;"ea763716-54d3-4b44-8917-3d8ff0d03369";
"0x21000004b0d6";"WNZZCAPBYD.Structure";{"id":"0x210000000425","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:30.165Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"EBN-000-02";;"3a7632de-7e17-48d1-9861-1a8e99cd3f81";
"0x21000004b0d9";"FGYLVFMYQN.Structure";{"id":"0x210000000425","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:30.290Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"EBN-00-03";;"5fd04445-4f2e-45ee-bea6-f858173d303e";
"0x21000004c00b";"BOBBSTEVUK.Structure";{"id":"0x210000000425","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:32.666Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"EB-49-20";;"cfacc5ff-741c-45e8-81c8-f02a69b005b9";
"0x21000004c86f";"BQLCBUYBUL.Structure";{"id":"0x210000000425","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:37.814Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"EB-49-10";;"b77f5d6d-a27e-4de6-9f4e-a9cf18022fd8";
"0x21000004cdfa";"CWQOPJOTGR.Structure";{"id":"0x21000000042b","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:55.093Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"EB-47-27";;"385254e7-016f-4d7d-b49d-cb1f5d2a77aa";
"0x21000004c884";"EAFNJHEETC.Structure";{"id":"0x210000000425","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:37.939Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"HUL-80-20";;"a37730e1-9c16-47e5-9a42-666529a1463b";
"0x21000004c7e9";"GFXDDUERSR.Structure";{"id":"0x210000000425","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:36.486Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"HUL-80-13";;"58c09dce-a6e9-40cd-809b-cc98339d11fa";
"0x21000007fbc8";"GYJPXZKHNV.Structure";{"id":"0x210000000427","relClassName":"BisCore.ModelContainsElements"};"2022-04-04T11:31:10.235Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"EB-49-07D";;"bc886c90-cfc8-4e04-bb84-dd7ccb853448";
"0x21000004cdf0";"IABSOHIONT.Structure";{"id":"0x21000000042b","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:55.015Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"EB-47-19";;"5058847d-0a11-4143-aec2-07dc08e2e83b";
"0x210000081eb5";"IUIVBUGHLN.Structure";{"id":"0x210000000429","relClassName":"BisCore.ModelContainsElements"};"2022-04-12T10:08:32.787Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"EBN-00-123";;"2d962abb-90d1-4585-9b74-94d92f1f8088";
"0x21000004cd86";"JEZSQDXWNT.Structure";{"id":"0x21000000042b","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:53.886Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"EB-48-08A";;"b0a1a175-0b3e-4c56-9446-a50ce9f6889a";
"0x210000081e9d";"JLRZRZHKPG.Structure";{"id":"0x210000000429","relClassName":"BisCore.ModelContainsElements"};"2022-04-12T10:08:32.615Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"HUL-95-25";;"448733d9-6d70-47c2-b6a4-0ef1f5c3a402";
"0x210000081ea0";"LGTHNVXKDP.Structure";{"id":"0x210000000429","relClassName":"BisCore.ModelContainsElements"};"2022-04-12T10:08:32.630Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"EB-49-30";;"3d085757-0eb4-49dd-af8f-31e670dd7e75";
"0x21000004c878";"MJSBAOYHGP.Structure";{"id":"0x210000000425","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:37.845Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"E-49-17";;"4758d6d7-e411-48e3-8c12-254222c548a1";
"0x21000004c034";"OQVKTIDISN.Structure";{"id":"0x210000000425","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:32.931Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"E-49-19A";;"7022bf30-13e9-4c35-bf5c-97b631b2b1cb";
"0x21000004c005";"QQBLCIKCGT.Structure";{"id":"0x210000000425","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:32.634Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"EB-49-21";;"1fd66201-b6bf-49b9-8b2c-47030a7d3396";
