ECInstanceId;ECClassId;Model;LastMod;CodeSpec;CodeScope;CodeValue;UserLabel;Parent;FederationGuid;JsonProperties
"0x21000004c87e";"CAKGDNNNFF.Wire";{"id":"0x210000000425","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:37.861Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Y24A MPA";;"43ba00a6-0aa5-498b-b443-78d7a21bef2d";
"0x21000004c7e6";"DVKAPJXDBY.Wire";{"id":"0x210000000425","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:36.470Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Y23E MPA";;"0f0e771a-9db0-40a7-8f78-82207032fd87";
"0x21000004ce32";"HPWDDDKVZD.Wire";{"id":"0x21000000042b","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:55.828Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"27 MPA";;"a3be7921-44e2-4a12-b617-a1be28814aae";
"0x21000004c9ab";"KLDJYTPMRD.Wire";{"id":"0x210000000425","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:38.660Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Y24D";;"e5f75b77-2c33-4324-822a-3dc536c425df";
"0x210000081eb9";"QQAQQISQNV.Wire";{"id":"0x210000000429","relClassName":"BisCore.ModelContainsElements"};"2022-04-12T10:08:32.802Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"47";;"ceafdf89-7e2f-45c3-8d86-ab7d70d9cdc0";
"0x21000004ce7f";"TBMKXTVVAD.Wire";{"id":"0x21000000042b","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:56.093Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Y25B";;"331ff42c-9561-4ad3-b18b-adc57432ab5a";
"0x2100000800d3";"FXQCVWCJWE.Wire";{"id":"0x210000000427","relClassName":"BisCore.ModelContainsElements"};"2022-04-04T11:31:12.236Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Y25A";;"a62ceda0-243a-47f7-88d8-c6dbc6af65df";
"0x2100000800b0";"SNXWVCVDTC.Wire";{"id":"0x210000000427","relClassName":"BisCore.ModelContainsElements"};"2022-04-04T11:31:12.173Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"RC1";;"f83957f5-a7ac-4e1b-b1a2-a0103959edaa";
"0x21000007fea3";"VUQFPTQJIC.Wire";{"id":"0x210000000427","relClassName":"BisCore.ModelContainsElements"};"2022-04-04T11:31:11.688Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"W34";;"84789430-b995-4dc1-bd01-a9483372f40f";
"0x21000007fe08";"XJMPPTXUVF.Wire";{"id":"0x210000000427","relClassName":"BisCore.ModelContainsElements"};"2022-04-04T11:31:11.344Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"27";;"f7f64275-55a1-4a72-be7e-52d332e948b1";
"0x210000081f2e";"MKSSIUSYEY.Wire";{"id":"0x210000000429","relClassName":"BisCore.ModelContainsElements"};"2022-04-12T10:08:33.177Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Y23A MPA";;"2c867fa0-48bd-4c2b-97d3-5a0289ef8362";
"0x210000081fba";"RHUBGMWEXU.Wire";{"id":"0x210000000429","relClassName":"BisCore.ModelContainsElements"};"2022-04-12T10:08:34.229Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Y23C";;"98ffa897-6479-4934-875f-eb0bed5d1554";
"0x21000008207f";"VXGOZSJNIM.Wire";{"id":"0x210000000429","relClassName":"BisCore.ModelContainsElements"};"2022-04-12T10:08:34.808Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"E.W.1";;"f1c69402-b14c-4c15-8176-f66ddb5302f6";
